mode,receiver,ood_fault,predicted_label,count,total_for_fault_and_model,proportion,abstentions,abstention_rate
local,F14,F4,F1,0,24,0.0,0,0.0
local,F14,F4,F2,0,24,0.0,0,0.0
local,F14,F4,F3,0,24,0.0,0,0.0
local,F14,F4,F8,0,24,0.0,0,0.0
local,F14,F4,F10,0,24,0.0,0,0.0
local,F14,F4,F13,0,24,0.0,0,0.0
local,F14,F4,F14,3,24,0.125,0,0.0
local,F14,F4,F15,0,24,0.0,0,0.0
local,F14,F5,Normal,24,24,1.0,0,0.0
local,F14,F5,F1,0,24,0.0,0,0.0
local,F14,F5,F2,0,24,0.0,0,0.0
local,F14,F5,F3,0,24,0.0,0,0.0
local,F14,F5,F8,0,24,0.0,0,0.0
local,F14,F5,F10,0,24,0.0,0,0.0
local,F14,F5,F13,0,24,0.0,0,0.0
local,F14,F5,F14,0,24,0.0,0,0.0
local,F14,F5,F15,0,24,0.0,0,0.0
local,F15,F4,Normal,19,24,0.7916666666666666,0,0.0
local,F15,F4,F1,0,24,0.0,0,0.0
local,F15,F4,F2,0,24,0.0,0,0.0
local,F15,F4,F3,0,24,0.0,0,0.0
local,F15,F4,F8,0,24,0.0,0,0.0
local,F15,F4,F10,0,24,0.0,0,0.0
local,F15,F4,F13,0,24,0.0,0,0.0
local,F15,F4,F14,0,24,0.0,0,0.0
local,F15,F4,F15,5,24,0.20833333333333334,0,0.0
local,F15,F5,Normal,21,24,0.875,0,0.0
local,F15,F5,F1,0,24,0.0,0,0.0
local,F15,F5,F2,0,24,0.0,0,0.0
local,F15,F5,F3,0,24,0.0,0,0.0
local,F15,F5,F8,0,24,0.0,0,0.0
local,F15,F5,F10,0,24,0.0,0,0.0
local,F15,F5,F13,0,24,0.0,0,0.0
local,F15,F5,F14,0,24,0.0,0,0.0
local,F15,F5,F15,3,24,0.125,0,0.0
fedavg,shared,F4,Normal,21,24,0.875,0,0.0
fedavg,shared,F4,F1,0,24,0.0,0,0.0
fedavg,shared,F4,F2,0,24,0.0,0,0.0
fedavg,shared,F4,F3,0,24,0.0,0,0.0
fedavg,shared,F4,F8,0,24,0.0,0,0.0
fedavg,shared,F4,F10,0,24,0.0,0,0.0
fedavg,shared,F4,F13,0,24,0.0,0,0.0
