fault,metric,variable,batches_in_top5
13,abs_slope_sigma_h,XMEAS-11,1
13,raw_std_ratio,XMEAS-7,5
13,raw_std_ratio,XMEAS-16,5
13,raw_std_ratio,XMEAS-13,5
13,raw_std_ratio,XMEAS-10,5
13,raw_std_ratio,XMEAS-21,3
13,raw_std_ratio,XMEAS-18,1
13,raw_std_ratio,XMEAS-34,1
13,diff_std_ratio,XMEAS-10,5
13,diff_std_ratio,XMEAS-16,5
13,diff_std_ratio,XMEAS-7,5
13,diff_std_ratio,XMEAS-13,5
13,diff_std_ratio,XMEAS-18,3
13,diff_std_ratio,XMEAS-34,2
13,residual_std_ratio,XMEAS-7,5
13,residual_std_ratio,XMEAS-16,5
13,residual_std_ratio,XMEAS-13,5
13,residual_std_ratio,XMEAS-10,5
13,residual_std_ratio,XMEAS-21,3
13,residual_std_ratio,XMEAS-18,1
13,residual_std_ratio,XMEAS-34,1
