  PID  PPID COMM
  681     1 /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/ATS.framework/Versions/A/Support/fontworker
  682     1 /usr/libexec/trustd
  687     1 /System/Library/CoreServices/sharedfilelistd
  692     1 /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  695     1 /System/Library/CoreServices/AccessibilityUIServer.app/Contents/MacOS/AccessibilityUIServer
  699     1 /Applications/Google Chrome.app/Contents/MacOS/Google Chrome
  700     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkd
  705     1 /usr/libexec/sharingd
  712     1 /usr/libexec/nearbyd
  720     1 /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  723     1 /System/Library/PrivateFrameworks/StatusKit.framework/StatusKitAgent
  724     1 /System/Applications/Utilities/Terminal.app/Contents/MacOS/Terminal
  725     1 /Applications/Microsoft Remote Desktop.app/Contents/MacOS/Microsoft Remote Desktop
  727     1 /System/Library/CoreServices/Dock.app/Contents/MacOS/Dock
  728     1 /System/Library/PrivateFrameworks/IMCore.framework/imagent.app/Contents/MacOS/imagent
  729     1 /System/Library/CoreServices/ControlCenter.app/Contents/MacOS/ControlCenter
  730     1 /System/Library/CoreServices/SystemUIServer.app/Contents/MacOS/SystemUIServer
  731     1 /System/Library/CoreServices/Finder.app/Contents/MacOS/Finder
  736     1 /System/Library/CoreServices/WallpaperAgent.app/Contents/MacOS/WallpaperAgent
  738     1 /usr/sbin/filecoordinationd
  741     1 /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  745     1 automountd
  746     1 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/chrome_crashpad_handler
  747     1 /System/Library/PrivateFrameworks/AMPDevices.framework/Versions/A/Support/AMPDeviceDiscoveryAgent
  754     1 /System/Library/ExtensionKit/Extensions/WallpaperAerialsExtension.appex/Contents/MacOS/WallpaperAerialsExtension
  763     1 /System/Library/PrivateFrameworks/CommunicationsFilter.framework/CMFSyncAgent
  765     1 /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  772   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  773   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  774     1 /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  777   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper.app/Contents/MacOS/Google Chrome Helper
  793     1 /System/Library/PrivateFrameworks/UserActivity.framework/Agents/useractivityd
  794     1 /System/Library/CoreServices/Dock.app/Contents/XPCServices/com.apple.dock.extra.xpc/Contents/MacOS/com.apple.dock.extra
  798   699 /Applications/Google Chrome.app/Contents/Frameworks/Google Chrome Framework.framework/Versions/152.0.7977.76/Helpers/Google Chrome Helper (Renderer).app/Contents/MacOS/Google Chrome Helper (Renderer)
  820     1 /System/Library/CoreServices/Spotlight.app/Contents/MacOS/Spotlight
  824     1 /System/Library/Frameworks/OpenGL.framework/Versions/A/Libraries/CVMServer
  833     1 /System/Library/PrivateFrameworks/TextInputUIMacHelper.framework/Versions/A/XPCServices/CursorUIViewService.xpc/Contents/MacOS/CursorUIViewService
  837     1 /System/Library/PrivateFrameworks/MediaRemote.framework/Support/mediaremoteagent
  838     1 /usr/libexec/avconferenced
  863     1 /System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.iCloudDriveFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.iCloudDriveFileProvider
  874     1 /System/Library/Frameworks/InputMethodKit.framework/Resources/imklaunchagent
  876     1 /System/Library/Input Methods/PressAndHold.app/Contents/PlugIns/PAH_Extension.appex/Contents/MacOS/PAH_Extension
  884     1 /System/Library/PrivateFrameworks/CoreSpeech.framework/corespeechd
  893     1 /usr/libexec/taskgated
  904     1 /usr/sbin/distnoted
  952     1 /System/Library/PrivateFrameworks/AmbientDisplay.framework/Versions/A/XPCServices/com.apple.AmbientDisplayAgent.xpc/Contents/MacOS/com.apple.AmbientDisplayAgent
 1119     1 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/universalAccessAuthWarn.app/Contents/MacOS/universalAccessAuthWarn
 1182     1 com.aomei.mac.anyviewer.helper
 1184     1 9PTGMPNXZ2.com.symantec.authclient.launcher
 1185     1 /Users/luker/.openclaw/tools/node-v24.19.0/bin/node
 1186     1 /Applications/GlobalProtect.app/Contents/Resources/PanGPS
 1190     1 /System/Library/Image Capture/Support/icdd
 1192     1 /Applications/GlobalProtect.app/Contents/MacOS/GlobalProtect
 1196     1 /bin/sh
 1198     1 /System/Library/CoreServices/AirPlayUIAgent.app/Contents/MacOS/AirPlayUIAgent
 1200     1 /System/Library/CoreServices/diagnostics_agent
 1201     1 /System/Library/CoreServices/TextInputMenuAgent.app/Contents/MacOS/TextInputMenuAgent
 1206     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1252     1 /System/Library/Frameworks/CryptoTokenKit.framework/ctkahp.bundle/Contents/MacOS/ctkahp
 1322     1 /System/Library/DriverExtensions/IOUserBluetoothSerialDriver.dext/IOUserBluetoothSerialDriver
 1350     1 /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Support/mdbulkimport
 1356     1 /usr/sbin/distnoted
 1437     1 /System/Library/CoreServices/UniversalControl.app/Contents/MacOS/UniversalControl
 1658  1196 /usr/local/opt/mysql@5.7/bin/mysqld
 1741     1 /usr/sbin/distnoted
 1900     1 /usr/sbin/distnoted
 1911     1 /usr/sbin/distnoted
 1951     1 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
