fault,batch,interval,window_start_h,window_end_h,feature,feature_column,window_score_max_41,frozen_threshold,score_over_threshold,positive,n_active_variables,active_variables,dominant_variable
1,2,10-15h,10.0,15.0,trend,abs_slope_sigma_h,31.21440121172195,0.7468621213669596,41.79406120448464,True,27.0,XMEAS-1;XMEAS-3;XMEAS-4;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-24;XMEAS-25;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-36;XMEAS-38,XMEAS-1
1,2,10-15h,10.0,15.0,residual,residual_std_ratio,13.746828224917902,1.3681613543196571,10.047665928814192,True,29.0,XMEAS-1;XMEAS-4;XMEAS-5;XMEAS-6;XMEAS-7;XMEAS-10;XMEAS-11;XMEAS-12;XMEAS-13;XMEAS-14;XMEAS-15;XMEAS-16;XMEAS-18;XMEAS-20;XMEAS-21;XMEAS-22;XMEAS-23;XMEAS-24;XMEAS-25;XMEAS-26;XMEAS-27;XMEAS-28;XMEAS-29;XMEAS-30;XMEAS-31;XMEAS-33;XMEAS-34;XMEAS-35;XMEAS-38,XMEAS-10
1,2,10-15h,10.0,15.0,diff,diff_std_ratio,1.886989640089562,1.4051245046201666,1.3429341199907785,True,3.0,XMEAS-1;XMEAS-10;XMEAS-31,XMEAS-10
1,2,10-15h,10.0,15.0,any-primary,any-primary,,,,True,,,
1,3,0-5h,0.0,5.0,level,abs_shift_sigma,0.635592460179932,1.9695333234149084,0.32271221442341447,False,0.0,,XMEAS-1
1,3,0-5h,0.0,5.0,trend,abs_slope_sigma_h,0.38734963775133086,0.7468621213669596,0.5186360730711262,False,0.0,,XMEAS-11
1,3,0-5h,0.0,5.0,residual,residual_std_ratio,1.1615537850806155,1.3681613543196571,0.8489888867371341,False,0.0,,XMEAS-31
1,3,0-5h,0.0,5.0,diff,diff_std_ratio,1.2319506423925695,1.4051245046201666,0.876755503403302,False,0.0,,XMEAS-28
1,3,0-5h,0.0,5.0,any-primary,any-primary,,,,False,,,
1,3,5-10h,5.0,10.0,level,abs_shift_sigma,0.5474550795136855,1.9695333234149084,0.27796182628911875,False,0.0,,XMEAS-20
