mode,cluster_id,receiver,true_label,n_attempts,correct,accuracy,abstentions,abstention_rate,non_abstained,accuracy_non_abstained
local,normal-dev-agent-4-r05,F10,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-5-r05,F10,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-6-r05,F10,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-7-r05,F10,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-8-r05,F10,Normal,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F1-b05,F13,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F13,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F13,F13,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F14-b05,F13,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F13,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F13,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F13,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F13,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-3-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-4-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-5-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-6-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-7-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-8-r05,F13,Normal,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F1-b05,F14,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F14,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F14,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F14,F14,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F15-b05,F14,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F14,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F14,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F14,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-3-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-4-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-5-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-6-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-7-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-8-r05,F14,Normal,8,8,1.0,0,0.0,8,1.0
local,fault-dev-F1-b05,F15,F1,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F10-b05,F15,F10,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F13-b05,F15,F13,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F14-b05,F15,F14,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F15-b05,F15,F15,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F2-b05,F15,F2,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F3-b05,F15,F3,8,0,0.0,0,0.0,8,0.0
local,fault-dev-F8-b05,F15,F8,8,0,0.0,0,0.0,8,0.0
local,normal-dev-agent-1-r05,F15,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-2-r05,F15,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-3-r05,F15,Normal,8,8,1.0,0,0.0,8,1.0
local,normal-dev-agent-4-r05,F15,Normal,8,7,0.875,0,0.0,8,0.875
local,normal-dev-agent-5-r05,F15,Normal,8,7,0.875,0,0.0,8,0.875
local,normal-dev-agent-6-r05,F15,Normal,8,7,0.875,0,0.0,8,0.875
local,normal-dev-agent-7-r05,F15,Normal,8,7,0.875,0,0.0,8,0.875
local,normal-dev-agent-8-r05,F15,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,fault-dev-F1-b05,shared,F1,8,8,1.0,0,0.0,8,1.0
fedavg,fault-dev-F10-b05,shared,F10,8,8,1.0,0,0.0,8,1.0
fedavg,fault-dev-F13-b05,shared,F13,8,7,0.875,0,0.0,8,0.875
fedavg,fault-dev-F14-b05,shared,F14,8,8,1.0,0,0.0,8,1.0
fedavg,fault-dev-F15-b05,shared,F15,8,0,0.0,0,0.0,8,0.0
fedavg,fault-dev-F2-b05,shared,F2,8,8,1.0,0,0.0,8,1.0
fedavg,fault-dev-F3-b05,shared,F3,8,0,0.0,0,0.0,8,0.0
fedavg,fault-dev-F8-b05,shared,F8,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-1-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-2-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-3-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-4-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-5-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-6-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-7-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
fedavg,normal-dev-agent-8-r05,shared,Normal,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F1-b05,shared,F1,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F10-b05,shared,F10,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F13-b05,shared,F13,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F14-b05,shared,F14,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F15-b05,shared,F15,8,7,0.875,0,0.0,8,0.875
centralized,fault-dev-F2-b05,shared,F2,8,8,1.0,0,0.0,8,1.0
centralized,fault-dev-F3-b05,shared,F3,8,1,0.125,0,0.0,8,0.125
centralized,fault-dev-F8-b05,shared,F8,8,8,1.0,0,0.0,8,1.0
centralized,normal-dev-agent-1-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-2-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-3-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-4-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-5-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-6-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-7-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
centralized,normal-dev-agent-8-r05,shared,Normal,8,0,0.0,0,0.0,8,0.0
