,result,table,_time,device,plant,ERROR1
,_result,0,2026-08-31T00:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T00:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T00:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T01:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T01:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T01:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T01:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T02:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T02:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T02:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T02:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T03:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T03:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T03:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T03:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T04:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T04:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T04:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T04:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T05:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T05:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T05:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T05:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T06:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T06:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T06:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T06:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T07:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T07:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T07:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T07:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T08:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T08:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T08:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T08:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T09:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T09:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T09:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T09:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T10:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T10:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T10:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T10:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T11:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T11:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T11:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T11:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T12:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T12:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T12:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T12:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T13:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T13:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T13:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T13:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T14:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T14:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T14:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T14:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T15:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T15:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T15:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T15:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T16:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T16:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T16:30:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T16:45:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T17:00:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T17:15:00Z,368974,Bisceglie,0
,_result,0,2026-08-31T17:30:00Z,368974,Bisceglie,0
