scenario_index,status,delta3,discordance,a,b,pattern,rho,procedure,rejections,phat,mcse,ci_low,ci_high
5,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.0,tango_0.05,3985,0.03985,0.0006185626686116775,0.038646001414153974,0.04108077996818255
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,tango_0.025,2892,0.02892,0.0005299399362191908,0.027890017440100855,0.029977424919885486
6,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.05,tango_0.05,5474,0.05474,0.0007193297741648123,0.053338069241455774,0.0561678258431782
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,hoeffding_h12_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,hoeffding_h12_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,hoeffding_h3_0.025,0,0.0,0.0,0.0,3.68881141579242e-05
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,hoeffding_h3_0.05,0,0.0,0.0,0.0,3.68881141579242e-05
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,tango_0.025,3955,0.03955,0.0006163261920444401,0.03835039355332084,0.040776405816400726
7,COMPLETE,-0.125,0.15,0.0,0.0,time_interaction,0.1,tango_0.05,7164,0.07164,0.000815522595640366,0.07004904520960208,0.07325585330256025
